DEPARTEMENT (numéro),COMMUNE,Rang ville,TAXE FONCIERE,,,,,,,,,,,,Taux des taxes spéciales d'équipement (+ TASA en Ile-de-France),,,,Taux de la taxe GEMAPI,,,,TOTAL TAUX taxe foncière + taxes annexes (hors TEOM) en 2024,"EVOLUTION TAXE FONCIERE 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %",TAXE D'ENLEVEMENT DES ORDURES MENAGERES,,,,TOTAL TAUX taxe foncière  + TEOM + taxes annexes en 2024,"EVOLUTION TAXE FONCIERE + TEOM 2021/2022 (majoration de 3,4 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2022/2023 (majoration de 7,1 % des valeurs locatives comprise), en %","EVOLUTION TAXE FONCIERE + TEOM 2023/2024 (majoration de 3,9 % des valeurs locatives comprise), en %"
,,,Taux au profit de la commune,,,,Taux au profit d'un syndicat de communes ou mixte,,,,Taux au profit d'une intercommunalité ,,,,,,,,,,,,,,,,Taux,Taux,Taux,Taux,,,,
,,,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,2021,2022,2023,2024,,,,,2021,2022,2023,2024,,,,
13,AUBAGNE,139,"49,13","49,13","49,13","49,13","0,00","0,00","0,00","0,00","1,20","1,40","1,60","1,80","0,19","0,19","0,18","0,18","0,48","0,51","0,61","0,56","51,67","3,8","7,7","4,2","10,00","14,00","14,00","14,00","65,67","10,5","7,6","4,1"
93,AUBERVILLIERS,50,"43,12","43,12","43,12","43,12","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","43,81","3,3","7,3","4,0","7,45","7,85","7,85","7,93","51,74","4,1","7,2","4,1"
93,AULNAY SOUS BOIS,52,"30,69","30,69","30,69","30,69","0,49","0,51","0,64","0,70","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","32,08","3,3","7,8","4,2","9,62","9,62","9,62","9,62","41,70","3,3","7,6","4,1"
84,AVIGNON,48,"42,44","42,44","42,44","42,44","0,00","0,00","0,00","0,00","1,61","1,61","1,61","1,61","0,19","0,19","0,18","0,18","0,20","0,27","0,29","0,27","44,49","3,5","7,1","3,8","10,90","10,90","10,90","10,90","55,39","3,5","7,1","3,9"
92,BAGNEUX,180,"30,43","33,47","33,47","33,47","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","34,16","13,3","7,3","4,0","5,88","5,76","5,64","5,64","39,80","11,4","7,0","4,0"
93,BAGNOLET,198,"42,41","48,77","48,77","48,77","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","49,46","18,6","7,2","4,0","7,92","8,44","8,44","8,77","58,23","17,3","7,2","4,6"
2B,BASTIA,136,"36,58","36,58","36,58","36,58","0,00","0,00","0,00","0,00","1,65","1,65","1,65","1,65","0,17","0,18","0,17","0,17","0,78","0,84","1,01",NR,"39,40","3,6","7,5","3,9 (dp)","16,36","16,36","16,36","16,36","55,76","3,5","7,4","3,9 (dp)"
64,BAYONNE,123,"32,50","32,83","32,83","33,81","0,00","0,00","0,00","0,08","2,79","2,79","2,79","2,93","0,35","0,34","0,68","0,72","0,40","0,45","0,49","0,46","38,01","4,5","8,2","7,3","10,10","10,70","10,70","10,70","48,71","5,6","8,0","6,6"
60,BEAUVAIS,100,"57,20","57,20","57,20","57,20","0,00","0,00","0,00","0,00","0,91","0,91","0,91","0,91","0,42","0,44","0,43","0,42","0,00","0,00","0,00","0,00","58,53","3,4","7,1","3,9","4,51","6,51","6,51","6,51","65,04","6,7","7,1","3,9"
90,BELFORT,144,"38,93","38,93","39,32","39,32","0,00","0,00","0,00","0,00","4,50","4,50","4,50","4,50","0,00","0,00","0,00","0,00","0,34","0,40","0,44",NR,"44,26","3,5","8,1","3,9 (dp)","9,80","9,80","9,80","9,80","54,06","3,5","8,0","3,9 (dp)"
25,BESANCON,33,"43,72","43,72","43,72","43,72","0,00","0,00","0,00","0,00","1,54","1,54","1,54","1,54","0,24","0,24","0,25","0,25","0,06","0,12","0,14","0,13","45,63","3,5","7,1","3,9","0,00","0,00","0,00","0,00","45,63","3,5","7,1","3,9"
34,BEZIERS,61,"47,99","47,99","47,99","47,99","0,00","0,00","0,00","0,00","2,58","2,58","2,58","2,58","0,20","0,20","0,25","0,24","1,14","1,16","1,23","1,15","51,96","3,4","7,4","3,7","14,05","14,05","14,05","14,05","66,01","3,4","7,3","3,8"
41,BLOIS,150,"57,70","57,70","57,70","57,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","57,70","3,4","7,1","3,9","10,67","10,67","11,35","11,35","69,05","3,4","8,2","3,9"
93,BOBIGNY,112,"42,12","42,12","49,92","49,92","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","50,61","3,3","26,8","4,0","7,92","8,44","8,44","8,77","59,38","4,4","23,6","4,6"
93,BONDY,110,"39,79","39,79","39,79","39,79","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","40,48","3,3","7,3","4,0","7,92","8,44","8,44","8,77","49,25","4,4","7,3","4,7"
33,BORDEAUX**,9,"46,38","46,38","48,48","48,48","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,18","0,17","0,48","0,53","0,00","0,00","0,00","0,22","49,23","3,4","12,7","4,5","9,31","9,31","9,31","9,31","58,54","3,4","11,7","4,4"
92,BOULOGNE BILLANCOURT,30,"15,09","15,09","15,09","15,09","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,62","0,57","0,58","0,59","0,01","0,01","0,07","0,11","15,78","3,1","7,6","4,2","4,15","4,15","4,15","4,15","19,93","3,1","7,5","4,1"
01,BOURG-EN-BRESSE,179,"37,93","37,93","37,93","39,07","0,00","0,00","0,00","0,00","0,58","0,66","0,74","0,74","0,14","0,15","0,14","0,14","0,00","0,00","0,00","0,29","40,25","3,6","7,3","7,7","9,95","9,95","9,95","9,95","50,20","3,6","7,3","6,9"
18,BOURGES,84,"45,92","45,92","45,92","45,92","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","45,92","3,4","7,1","3,9","8,45","10,45","10,45","10,45","56,37","7,2","7,1","3,9"
29,BREST,25,"40,24","40,24","39,84","39,44","0,00","0,00","0,00","0,00","2,93","3,32","3,72","4,12","0,12","0,09","0,08","0,08","0,00","0,00","0,20","0,19","43,83","4,2","7,6","3,9","5,78","5,78","5,78","5,78","49,61","4,1","7,5","3,9"
19,BRIVE LA GAILLARDE***,147,"55,90","55,34","54,90","54,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,18","0,17","0,17","0,16","0,00","0,00","0,00","0,00","54,86","2,3","6,3","3,5","4,11","4,16","4,04","4,12","58,98","2,5","6,1","3,7"
69,BRON,173,"31,20","31,20","31,20","31,20","0,39","0,44","0,48","0,44","0,55","0,55","0,55","0,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","32,34","3,6","7,2","4,2","4,93","4,93","4,93","5,19","37,53","3,5","7,2","4,9"
14,CAEN,40,"51,03","51,03","51,03","51,03","0,00","0,00","0,00","0,00","0,96","0,96","0,96","0,96","0,11","0,12","0,11","0,11","0,00","0,00","0,59","0,55","52,64","3,4","8,3","3,8","10,74","10,74","10,74","10,74","63,38","3,4","8,1","3,8"
06,CAGNES SUR MER,121,"24,55","24,55","24,55","24,55","0,00","0,00","0,00","0,00","6,40","6,40","6,40","6,40","0,19","0,19","0,18","0,18","0,00","0,00","0,00","0,53","31,66","3,4","7,1","5,6","8,46","8,46","10,46","10,46","42,12","3,4","12,5","5,2"
62,CALAIS,69,"44,45","44,45","44,45","44,45","0,00","0,00","0,00","0,00","3,15","3,15","3,15","3,15","0,26","0,16","0,20","0,18","0,31","0,60","0,63",NR,"48,41","3,8","7,2","3,9 (dp)","10,75","10,75","10,75","10,75","59,16","3,7","7,2","3,9 (dp)"
69,CALUIRE ET CUIRE,167,"35,83","35,83","35,83","35,83","0,32","0,42","0,52","0,54","0,55","0,55","0,55","0,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","37,08","3,7","7,4","4,4","4,93","4,93","4,93","5,19","42,27","3,6","7,4","5,0"
06,CANNES,67,"28,12","28,12","28,12","28,12","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,19","0,19","0,18","0,18","0,00","0,00","0,00","0,74","29,04","3,4","7,1","6,6","12,25","12,25","12,25","12,25","41,29","3,4","7,1","5,8"
11,CARCASSONNE,142,"70,66","53,28","53,28","53,28","0,00","0,00","0,00","0,00","1,50","18,71","18,71","18,71","0,20","0,20","0,25","0,24","1,20","1,20","1,23","1,30","73,53","3,2","7,2","4,0","12,10","12,10","12,10","12,10","85,63","3,2","7,2","4,0"
81,CASTRES**,174,"63,61","61,61","60,99","60,38","0,00","0,00","0,00","0,00","0,00","1,00","1,00","1,00","0,31","0,31","0,29","0,29","0,09","0,10","0,10","0,11","61,78","1,8","6,0","2,9","10,91","12,70","12,70","13,80","75,58","4,5","6,2","4,6"
973,CAYENNE,81,"67,24","67,24","67,24","67,24","0,00","0,00","0,00","0,00","1,96","1,96","1,96","1,96","1,42","1,08","1,18","1,36","0,00","0,00","0,00","0,00","70,56","2,9","7,3","4,2","14,56","14,56","14,56","14,56","85,12","3,0","7,2","4,1"
95,CERGY,80,"42,86","42,86","44,15","44,15","0,00","0,00","0,00","0,00","1,91","1,91","2,41","2,41","0,62","0,57","0,58","0,59","0,32","0,38","0,36","0,41","47,56","3,4","11,3","4,0","8,15","8,15","8,00","8,00","55,56","3,4","10,3","4,0"
71,CHALON SUR SAONE,155,"47,34","47,34","47,34","47,34","0,00","0,00","0,00","0,00","2,00","2,00","2,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","49,34","3,4","7,1","3,9","9,87","9,87","9,87","9,87","59,21","3,4","7,1","3,9"
