Station_Name,Station_Town,Department,Longitude,Latitude,FRET,VOYAGEURS
Martres-Tolosane,MARTRES-TOLOSANE,HAUTE-GARONNE,1.015612714830371,43.195931482311494,N,O
Moret-Veneux-les-Sablons,MORET-LOING-ET-ORVANNE,SEINE-ET-MARNE,2.797934704242235,48.378969270107795,N,O
La Souterraine,LA SOUTERRAINE,CREUSE,1.490691444529265,46.241740737278604,O,O
Le Buet,VALLORCINE,HAUTE-SAVOIE,6.920548372764412,46.01917242108535,N,O
Fontan-Saorge,FONTAN,ALPES-MARITIMES,7.551578000989646,43.99740866361559,N,O
La Brigue,LA BRIGUE,ALPES-MARITIMES,7.603034286339613,44.06252385171183,N,O
Laroque,LAROQUE-TIMBAUT,LOT-ET-GARONNE,0.749741149561576,44.28750006542904,N,O
Muhlbach-sur-Munster,MUHLBACH-SUR-MUNSTER,HAUT-RHIN,7.087636083352972,48.02448731356157,N,O
Montsoult-Maffliers,MONTSOULT,VAL-D'OISE,2.322488540042579,49.06602499907762,N,O
Fouilloy,FOUILLOY,OISE,1.82549203212016,49.73641873820521,N,O
Le Coteau,LE COTEAU,LOIRE,4.08631855553161,46.023554212978496,N,O
St-Michel-Valloire,SAINT-MICHEL-DE-MAURIENNE,SAVOIE,6.471910120533972,45.21686650849768,O,O
Abancourt,ABANCOURT,OISE,1.774495414204267,49.68552581891906,N,O
Arenc-Euroméditerranée,MARSEILLE,BOUCHES-DU-RHONE,5.367806699275027,43.31288294485868,N,O
Pont-à-Mousson,PONT-A-MOUSSON,MEURTHE-ET-MOSELLE,6.050608194237219,48.90020719080954,O,O
Pont-d'Ain,PONT-D'AIN,AIN,5.334213116969928,46.05385683262983,N,O
Luttenbach-près-Munster,LUTTENBACH-PRES-MUNSTER,HAUT-RHIN,7.118844201837517,48.03530647173009,N,O
Montérolier-Buchy,BUCHY,SEINE-MARITIME,1.336076059966942,49.603288560518415,N,O
Is-sur-Tille,MARCILLY-SUR-TILLE,COTE-D'OR,5.129777870847223,47.52023448752397,O,O
Lunel,LUNEL,HERAULT,4.13115223064578,43.67958578801083,N,O
Champ-de-Mars-Tour-Eiffel,PARIS,PARIS,2.287661980210214,48.85382608574039,N,O
St-Gilles-Croix-de-Vie,SAINT-GILLES-CROIX-DE-VIE,VENDEE,-1.941609608187195,46.696491785801165,N,O
Longueville,LONGUEVILLE,SEINE-ET-MARNE,3.250354020039758,48.513466492488654,O,O
Évry,EVRY-COURCOURONNES,ESSONNE,2.452145652339384,48.634608020746256,N,O
Breuil-Romain,BREUIL-SUR-VESLE,MARNE,3.766878024994296,49.308381394703375,N,O
L'Estaque,MARSEILLE,BOUCHES-DU-RHONE,5.321378031505878,43.363795125943106,N,O
St-Jean-de-Luz-Ciboure,SAINT-JEAN-DE-LUZ,PYRENEES-ATLANTIQUES,-1.661120875576861,43.385630538051984,N,O
Thésée,THESEE,LOIR-ET-CHER,1.312102893838652,47.3221316131585,N,O
Pezou,PEZOU,LOIR-ET-CHER,1.141013622640016,47.86735974833991,O,O
Aubigny-au-Bac,AUBIGNY-AU-BAC,NORD,3.158284448868986,50.268474966278646,N,O
Meuse-TGV,LES TROIS-DOMAINES,MEUSE,5.273714507612137,48.978506341284344,N,O
Pessac,PESSAC,GIRONDE,-0.631981201223286,44.80432882276649,N,O
Étival-Clairefontaine,ETIVAL-CLAIREFONTAINE,VOSGES,6.876938197790184,48.36665344733627,O,O
Herblay,HERBLAY-SUR-SEINE,VAL-D'OISE,2.161872775865862,48.990322193724175,N,O
Strasbourg-Ville,STRASBOURG,BAS-RHIN,7.731594953278417,48.58287025491014,O,O
